Date,zone,centre,Price
06-01-93,1,HISAR,6.5
06-01-93,1,KARNAL,6
06-01-93,1,SHIMLA,7.75
06-01-93,1,MANDI,NA
06-01-93,1,SRINAGAR,NA
06-01-93,1,JAMMU,5.5
06-01-93,1,AMRITSAR,NA
06-01-93,1,LUDHIANA,NA
06-01-93,1,LUCKNOW,5
06-01-93,1,KANPUR,5.3
06-01-93,1,CHANDIGARH,6
06-01-93,1,DELHI,7
06-01-93,2,AHMEDABAD,5.8
06-01-93,2,RAJKOT,6.25
06-01-93,2,PANAJI,NA
06-01-93,2,BHOPAL,6.2
06-01-93,2,INDORE,6.5
06-01-93,2,MUMBAI,8
06-01-93,2,NAGPUR,5.9
06-01-93,2,JAIPUR,8
06-01-93,2,JODHPUR,8
06-01-93,3,GUWAHATI,6
06-01-93,3,PATNA,NA
06-01-93,3,SHILLONG,6
06-01-93,3,AIZAWL,NA
06-01-93,3,BHUBANESHWAR,5
06-01-93,3,CUTTACK,4.8
06-01-93,3,KOLKATA,5.2
06-01-93,3,AGARTALA,NA
06-01-93,4,HYDERABAD,5.5
06-01-93,4,VIJAYAWADA,5.75
06-01-93,4,BANGALORE,7.5
06-01-93,4,THIRUVANANTHAPURAM,7.5
06-01-93,4,ERNAKULAM,7.1
06-01-93,4,CHENNAI,7
06-01-93,4,MADURAI,6.4
06-01-93,4,PONDICHERRY,NA
13-01-93,1,HISAR,6.5
13-01-93,1,KARNAL,6
13-01-93,1,SHIMLA,7.5
13-01-93,1,MANDI,NA
13-01-93,1,SRINAGAR,NA
13-01-93,1,JAMMU,5.5
13-01-93,1,AMRITSAR,5.75
13-01-93,1,LUDHIANA,6.5
13-01-93,1,LUCKNOW,5
13-01-93,1,KANPUR,5.25
13-01-93,1,CHANDIGARH,6.5
13-01-93,1,DELHI,7
13-01-93,2,AHMEDABAD,NA
13-01-93,2,RAJKOT,NA
13-01-93,2,PANAJI,NA
13-01-93,2,BHOPAL,6.25
13-01-93,2,INDORE,6.5
13-01-93,2,MUMBAI,NA
13-01-93,2,NAGPUR,5.9
13-01-93,2,JAIPUR,8
13-01-93,2,JODHPUR,8
13-01-93,3,GUWAHATI,6
13-01-93,3,PATNA,NA
13-01-93,3,SHILLONG,NA
13-01-93,3,AIZAWL,NA
13-01-93,3,BHUBANESHWAR,5
13-01-93,3,CUTTACK,4.8
13-01-93,3,KOLKATA,5.2
13-01-93,3,AGARTALA,NA
13-01-93,4,HYDERABAD,5.5
13-01-93,4,VIJAYAWADA,5.75
13-01-93,4,BANGALORE,7.5
13-01-93,4,THIRUVANANTHAPURAM,7.5
13-01-93,4,ERNAKULAM,7.25
13-01-93,4,CHENNAI,7
13-01-93,4,MADURAI,6.2
13-01-93,4,PONDICHERRY,6.5
20-01-93,1,HISAR,6.5
20-01-93,1,KARNAL,6
20-01-93,1,SHIMLA,7.75
20-01-93,1,MANDI,6.5
20-01-93,1,SRINAGAR,NA
20-01-93,1,JAMMU,NA
20-01-93,1,AMRITSAR,5.75
20-01-93,1,LUDHIANA,6.5
20-01-93,1,LUCKNOW,5
20-01-93,1,KANPUR,5.25
20-01-93,1,CHANDIGARH,6.5
20-01-93,1,DELHI,7
20-01-93,2,AHMEDABAD,5.5
20-01-93,2,RAJKOT,6.5
20-01-93,2,PANAJI,NA
20-01-93,2,BHOPAL,6.25
20-01-93,2,INDORE,6.5
20-01-93,2,MUMBAI,7.5
20-01-93,2,NAGPUR,5.65
20-01-93,2,JAIPUR,8
20-01-93,2,JODHPUR,8
20-01-93,3,GUWAHATI,6
20-01-93,3,PATNA,6.5
20-01-93,3,SHILLONG,NA
20-01-93,3,AIZAWL,NA
20-01-93,3,BHUBANESHWAR,5
20-01-93,3,CUTTACK,4.8
20-01-93,3,KOLKATA,5.2
20-01-93,3,AGARTALA,NA
20-01-93,4,HYDERABAD,5.5
20-01-93,4,VIJAYAWADA,6.5
20-01-93,4,BANGALORE,7.2
20-01-93,4,THIRUVANANTHAPURAM,7.5
20-01-93,4,ERNAKULAM,7.4
20-01-93,4,CHENNAI,7
20-01-93,4,MADURAI,6
20-01-93,4,PONDICHERRY,7.6
27-01-93,1,HISAR,6.5
27-01-93,1,KARNAL,6
27-01-93,1,SHIMLA,7.5
27-01-93,1,MANDI,6.55
27-01-93,1,SRINAGAR,NA
27-01-93,1,JAMMU,6
27-01-93,1,AMRITSAR,NA
27-01-93,1,LUDHIANA,NA
27-01-93,1,KANPUR,4.8
27-01-93,1,CHANDIGARH,6.5
27-01-93,1,DELHI,7
27-01-93,2,AHMEDABAD,6
27-01-93,2,RAJKOT,6.5
27-01-93,2,PANAJI,6.75
27-01-93,2,BHOPAL,NA
27-01-93,2,INDORE,NA
27-01-93,2,MUMBAI,7.5
27-01-93,2,NAGPUR,5.65
27-01-93,2,JAIPUR,7.75
27-01-93,2,JODHPUR,7.5
27-01-93,3,GUWAHATI,6
27-01-93,3,PATNA,6.5
27-01-93,3,SHILLONG,NA
27-01-93,3,AIZAWL,NA
27-01-93,3,BHUBANESHWAR,5
27-01-93,3,CUTTACK,4.8
27-01-93,3,KOLKATA,5.2
27-01-93,3,AGARTALA,NA
27-01-93,4,HYDERABAD,5.5
27-01-93,4,VIJAYAWADA,6.5
27-01-93,4,BANGALORE,7.1
27-01-93,4,THIRUVANANTHAPURAM,7.5
27-01-93,4,ERNAKULAM,7.4
27-01-93,4,CHENNAI,7
27-01-93,4,MADURAI,6
27-01-93,4,PONDICHERRY,7.6
03-02-93,1,HISAR,6.5
03-02-93,1,KARNAL,6
03-02-93,1,SHIMLA,7.5
03-02-93,1,MANDI,7.2
03-02-93,1,SRINAGAR,NA
03-02-93,1,JAMMU,6
03-02-93,1,AMRITSAR,6.5
03-02-93,1,LUDHIANA,6.2
03-02-93,1,LUCKNOW,5
03-02-93,1,KANPUR,5.4
03-02-93,1,CHANDIGARH,6.5
03-02-93,1,DELHI,7
03-02-93,2,AHMEDABAD,5.8
03-02-93,2,RAJKOT,6.5
03-02-93,2,PANAJI,6.5
03-02-93,2,BHOPAL,6.25
03-02-93,2,INDORE,6.5
03-02-93,2,MUMBAI,7.4
03-02-93,2,NAGPUR,5.6
03-02-93,2,JAIPUR,7.75
03-02-93,2,JODHPUR,7.5
03-02-93,3,GUWAHATI,6
03-02-93,3,PATNA,NA
03-02-93,3,SHILLONG,NA
03-02-93,3,AIZAWL,NA
03-02-93,3,BHUBANESHWAR,5
03-02-93,3,CUTTACK,4.8
03-02-93,3,KOLKATA,5.2
03-02-93,3,AGARTALA,NA
03-02-93,4,HYDERABAD,5.5
03-02-93,4,VIJAYAWADA,6.5
03-02-93,4,BANGALORE,NA
03-02-93,4,THIRUVANANTHAPURAM,7.3
03-02-93,4,ERNAKULAM,7.3
03-02-93,4,CHENNAI,7
03-02-93,4,MADURAI,5.8
03-02-93,4,PONDICHERRY,7.6
10-02-93,1,HISAR,6.5
10-02-93,1,KARNAL,6
10-02-93,1,SHIMLA,7.5
10-02-93,1,MANDI,NA
10-02-93,1,SRINAGAR,NA
10-02-93,1,JAMMU,NA
10-02-93,1,AMRITSAR,5.75
10-02-93,1,LUDHIANA,6.1
10-02-93,1,LUCKNOW,5
10-02-93,1,KANPUR,5.5
10-02-93,1,CHANDIGARH,NA
10-02-93,1,DELHI,7
10-02-93,2,AHMEDABAD,6
10-02-93,2,RAJKOT,6.5
10-02-93,2,PANAJI,6.5
10-02-93,2,BHOPAL,6.25
10-02-93,2,INDORE,6.5
10-02-93,2,MUMBAI,7.4
10-02-93,2,NAGPUR,5.6
10-02-93,2,JAIPUR,7.5
10-02-93,2,JODHPUR,7.25
10-02-93,3,GUWAHATI,NA
10-02-93,3,PATNA,6.25
10-02-93,3,SHILLONG,NA
10-02-93,3,AIZAWL,NA
10-02-93,3,BHUBANESHWAR,5
10-02-93,3,CUTTACK,4.8
10-02-93,3,KOLKATA,5.2
10-02-93,3,AGARTALA,NA
10-02-93,4,HYDERABAD,5.5
10-02-93,4,VIJAYAWADA,6
10-02-93,4,BANGALORE,7.5
10-02-93,4,THIRUVANANTHAPURAM,7.3
10-02-93,4,ERNAKULAM,7.4
10-02-93,4,CHENNAI,7
10-02-93,4,MADURAI,NA
10-02-93,4,PONDICHERRY,NA
17-02-93,1,HISAR,NA
17-02-93,1,KARNAL,NA
17-02-93,1,SHIMLA,7.5
17-02-93,1,MANDI,7.2
17-02-93,1,SRINAGAR,NA
17-02-93,1,JAMMU,6
17-02-93,1,AMRITSAR,NA
17-02-93,1,LUDHIANA,NA
17-02-93,1,LUCKNOW,5
17-02-93,1,KANPUR,5.5
17-02-93,1,CHANDIGARH,6.5
17-02-93,1,DELHI,7
17-02-93,2,AHMEDABAD,5.5
17-02-93,2,RAJKOT,6.5
17-02-93,2,PANAJI,6.5
17-02-93,2,BHOPAL,NA
17-02-93,2,INDORE,NA
17-02-93,2,MUMBAI,8
17-02-93,2,NAGPUR,5.6
17-02-93,2,JAIPUR,NA
17-02-93,2,JODHPUR,NA
17-02-93,3,GUWAHATI,6
17-02-93,3,PATNA,NA
17-02-93,3,SHILLONG,NA
17-02-93,3,AIZAWL,NA
17-02-93,3,BHUBANESHWAR,5
17-02-93,3,CUTTACK,4.8
17-02-93,3,KOLKATA,5.2
17-02-93,3,AGARTALA,NA
17-02-93,4,HYDERABAD,5.5
17-02-93,4,VIJAYAWADA,5.2
17-02-93,4,BANGALORE,NA
17-02-93,4,THIRUVANANTHAPURAM,7.3
